functions,Average,Std_Dev,Range,Median,Time
Schwefel,2791.980667,291.0776924,962.2,2756.72,3.995
De Jong 1,16525.905,3617.690385,13096.2,16929.85,2.678
Rosenbrock's Saddle,4624192567,2200245473,9393093000,4288820000,3.04
Rastrigin,148664.7167,25816.99628,117756.8,145918.5,3.624
Griewangk,201.40451,54.26135096,208.219,201.822,3.206
Sine Envelope Sine Wave,-6.922858667,0.615849057,2.77131,-6.848245,1.48
Stretch V Sine Wave,3.14885,0,0,3.14885,1.519
Ackley One,117.9502767,12.70077553,61.5507,119.178,1.424
Ackley Two,155.9257667,10.47668637,36.86,160.025,1.518
Egg Holder,-1925.865933,493.5229002,2454.252,-1872.6,1.323
Rana,-1225.0452,271.6587289,1159.908,-1189.075,1.784
Pathological,2.832005333,0.385649688,1.41638,2.89944,1.353
Michalewicz,-3.042443667,0.44436953,1.659,-2.974425,1.964
Mastersâ€™ Cosine Wave,-4.86272,0,0,-4.86272,1.259
Quartic,262190090,97677136.01,448506000,237735500,1.403
Levy,3656.484,1295.195831,4943.7,3334.03,1.868
Step,13138.277,3374.336256,13117.89,13282.75,0.881
Alpine,131.9117867,26.00687297,121.9316,136.1985,1.019
