"(75.34, 0.753)","(74.89, 0.749)","(79.91, 0.802)","(77.63, 0.777)","(77.63, 0.778)","(79.45, 0.797)","(78.54, 0.788)","(79.0, 0.792)","(78.54, 0.788)","(78.08, 0.783)","(77.63, 0.778)","(77.63, 0.778)","(78.08, 0.783)","(77.17, 0.773)","(78.08, 0.783)","(77.63, 0.778)","(77.63, 0.778)","(77.63, 0.778)","(77.17, 0.773)","(77.17, 0.773)"
"(74.43, 0.744)","(75.8, 0.76)","(77.63, 0.777)","(78.54, 0.787)","(78.54, 0.787)","(77.17, 0.773)","(78.08, 0.783)","(77.63, 0.778)","(77.63, 0.778)","(78.08, 0.782)","(77.63, 0.777)","(77.63, 0.777)","(77.63, 0.777)","(78.08, 0.782)","(77.63, 0.777)","(77.63, 0.777)","(77.63, 0.777)","(77.17, 0.772)","(77.63, 0.777)","(77.63, 0.777)"
"(74.89, 0.748)","(79.91, 0.803)","(79.91, 0.801)","(79.45, 0.797)","(79.45, 0.797)","(79.0, 0.792)","(79.0, 0.793)","(79.0, 0.792)","(78.54, 0.787)","(77.63, 0.778)","(77.63, 0.777)","(78.08, 0.782)","(77.63, 0.777)","(78.08, 0.782)","(77.17, 0.773)","(78.08, 0.782)","(78.08, 0.782)","(78.08, 0.782)","(78.08, 0.782)","(78.08, 0.782)"
"(74.89, 0.748)","(74.89, 0.75)","(77.17, 0.773)","(78.54, 0.787)","(77.63, 0.777)","(77.63, 0.778)","(77.63, 0.777)","(77.63, 0.777)","(78.08, 0.782)","(77.17, 0.772)","(77.63, 0.777)","(76.26, 0.763)","(77.17, 0.772)","(76.71, 0.768)","(77.17, 0.772)","(76.71, 0.768)","(76.71, 0.768)","(76.71, 0.768)","(76.71, 0.768)","(76.71, 0.768)"
"(74.89, 0.748)","(78.08, 0.784)","(77.63, 0.778)","(78.08, 0.783)","(77.63, 0.777)","(78.54, 0.787)","(77.17, 0.773)","(77.63, 0.778)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.773)","(76.71, 0.768)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.772)","(76.71, 0.768)","(76.71, 0.768)","(76.71, 0.768)"
"(74.43, 0.744)","(78.54, 0.789)","(78.54, 0.787)","(77.63, 0.778)","(77.63, 0.777)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.772)","(77.63, 0.777)","(76.71, 0.768)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.772)","(77.17, 0.772)","(76.71, 0.768)","(77.17, 0.772)"
"(74.89, 0.748)","(79.0, 0.794)","(79.0, 0.792)","(78.08, 0.783)","(77.63, 0.777)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.772)","(77.17, 0.772)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.63, 0.777)","(76.71, 0.768)","(77.17, 0.773)","(77.17, 0.772)"
"(74.89, 0.748)","(78.08, 0.784)","(79.0, 0.792)","(77.63, 0.778)","(78.08, 0.782)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.772)","(77.63, 0.777)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.63, 0.777)","(77.17, 0.772)","(77.17, 0.773)","(77.17, 0.772)"
"(74.89, 0.748)","(78.08, 0.784)","(79.0, 0.792)","(78.08, 0.783)","(77.63, 0.777)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.773)","(76.71, 0.768)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.772)","(76.71, 0.768)","(76.71, 0.768)","(77.17, 0.772)"
"(74.89, 0.748)","(78.54, 0.789)","(79.0, 0.792)","(77.63, 0.778)","(77.63, 0.777)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.773)","(76.71, 0.768)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.772)","(76.71, 0.768)","(76.71, 0.768)","(77.17, 0.772)"
"(74.89, 0.748)","(79.0, 0.794)","(79.0, 0.792)","(78.08, 0.783)","(77.63, 0.777)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.773)","(76.71, 0.768)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.772)","(76.71, 0.768)","(76.71, 0.768)","(76.71, 0.768)"
"(74.89, 0.748)","(78.54, 0.789)","(79.0, 0.792)","(77.63, 0.778)","(77.63, 0.777)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.773)","(76.71, 0.768)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.772)","(76.26, 0.763)","(76.71, 0.768)","(76.71, 0.768)"
"(74.89, 0.748)","(78.54, 0.789)","(79.0, 0.792)","(77.63, 0.778)","(77.63, 0.777)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.63, 0.777)","(76.71, 0.768)","(77.17, 0.773)","(76.71, 0.768)"
"(74.89, 0.748)","(78.54, 0.789)","(79.0, 0.792)","(77.63, 0.778)","(77.63, 0.777)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(76.71, 0.768)","(77.17, 0.773)","(76.71, 0.768)"
"(74.89, 0.748)","(79.0, 0.794)","(79.0, 0.792)","(78.08, 0.783)","(77.63, 0.777)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(76.71, 0.768)","(77.17, 0.773)","(76.71, 0.768)"
"(74.89, 0.748)","(79.0, 0.794)","(79.0, 0.792)","(77.63, 0.778)","(77.63, 0.777)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(76.71, 0.768)","(76.71, 0.768)","(76.71, 0.768)"
"(74.89, 0.748)","(79.0, 0.794)","(79.0, 0.792)","(78.08, 0.782)","(78.08, 0.782)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.63, 0.777)","(77.63, 0.777)","(77.17, 0.772)","(77.63, 0.777)","(76.71, 0.768)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.772)","(77.17, 0.772)","(76.71, 0.768)","(77.17, 0.772)"
"(74.89, 0.748)","(78.54, 0.789)","(79.0, 0.792)","(77.63, 0.778)","(78.08, 0.782)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.772)","(77.63, 0.777)","(76.71, 0.768)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.772)","(76.71, 0.768)","(76.71, 0.768)","(77.17, 0.772)"
"(74.89, 0.748)","(79.0, 0.794)","(79.0, 0.792)","(78.08, 0.783)","(77.63, 0.777)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.773)","(76.71, 0.768)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(76.71, 0.768)","(76.71, 0.768)","(76.71, 0.768)"
"(74.89, 0.748)","(79.0, 0.794)","(79.45, 0.797)","(77.63, 0.778)","(78.08, 0.782)","(78.08, 0.782)","(77.17, 0.773)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.773)","(77.17, 0.773)","(77.17, 0.772)","(77.17, 0.773)","(76.71, 0.768)","(77.17, 0.773)","(77.63, 0.777)","(77.17, 0.772)","(76.71, 0.768)","(76.71, 0.768)","(77.17, 0.772)"
